Re,Stenosis length/Radius,Degree of stenosis,Asymmetry,Pressure difference
100,2.5,0.3,1.0,3.63342857142857
200,2.5,0.3,1.0,2.375999999999999
300,2.5,0.3,1.0,2.0399999999999996
400,2.5,0.3,1.0,1.8928928571428565
500,2.5,0.3,1.0,1.8255085714285713
600,2.5,0.3,1.0,1.7755714285714281
700,2.5,0.3,1.0,1.745160349854227
800,2.5,0.3,1.0,1.7157053571428564
30,2.5,0.3,0.5,10.114285714285714
50,2.5,0.3,0.5,6.140571428571427
100,2.5,0.3,0.5,3.4637142857142846
200,2.5,0.3,0.5,2.1117857142857135
300,2.5,0.3,0.5,1.6971428571428566
400,2.5,0.3,0.5,1.4970535714285709
500,2.5,0.3,0.5,1.3975199999999999
600,2.5,0.3,0.5,1.333285714285714
700,2.5,0.3,0.5,1.3040291545189502
800,2.5,0.3,0.5,1.293227678571428
30,2.5,0.3,0.0,10.114285714285714
50,2.5,0.3,0.0,6.0788571428571405
100,2.5,0.3,0.0,3.3865714285714272
200,2.5,0.3,0.0,2.019214285714285
300,2.5,0.3,0.0,1.5848571428571425
400,2.5,0.3,0.0,1.3625357142857137
500,2.5,0.3,0.0,1.2373714285714286
600,2.5,0.3,0.0,1.1524285714285711
700,2.5,0.3,0.0,1.0981049562682215
800,2.5,0.3,0.0,1.0583035714285711
30,10.0,0.3,1.0,21.17142857142857
50,10.0,0.3,1.0,12.589714285714281
100,10.0,0.3,1.0,6.765428571428569
200,10.0,0.3,1.0,3.8455714285714273
300,10.0,0.3,1.0,2.9202857142857135
400,10.0,0.3,1.0,2.441571428571428
500,10.0,0.3,1.0,2.1578399999999998
600,10.0,0.3,1.0,1.957928571428571
700,10.0,0.3,1.0,1.8177376093294457
800,10.0,0.3,1.0,1.7064241071428565
30,10.0,0.3,0.5,21.17142857142857
50,10.0,0.3,0.5,12.589714285714281
100,10.0,0.3,0.5,6.765428571428569
200,10.0,0.3,0.5,3.8455714285714273
300,10.0,0.3,0.5,2.9202857142857135
400,10.0,0.3,0.5,2.441571428571428
500,10.0,0.3,0.5,2.1578399999999998
600,10.0,0.3,0.5,1.957928571428571
700,10.0,0.3,0.5,1.8177376093294457
800,10.0,0.3,0.5,1.7064241071428565
30,10.0,0.3,0.0,21.17142857142857
50,10.0,0.3,0.0,12.589714285714281
100,10.0,0.3,0.0,6.749999999999997
200,10.0,0.3,0.0,3.8320714285714272
300,10.0,0.3,0.0,2.9022857142857137
400,10.0,0.3,0.0,2.4208392857142846
500,10.0,0.3,0.0,2.1343885714285715
600,10.0,0.3,0.0,1.9319999999999995
700,10.0,0.3,0.0,1.789084548104956
800,10.0,0.3,0.0,1.674964285714285
30,15.0,0.3,1.0,28.885714285714283
